url_length,hostname_length,dot_count,slash_count,has_ip,has_special_chars,subdomain_count,has_https,has_sensitive_words,directory_count,query_param_count,is_shortened,Label
43,0,2,6,0,0,-1,0,0,7,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
26,19,2,2,0,0,1,0,0,0,0,0,0
196,0,2,2,0,1,-1,0,1,3,3,0,1
23,0,1,1,0,0,-1,0,0,2,0,0,1
23,16,2,2,0,0,1,0,0,0,0,1,0
99,0,1,3,0,1,-1,0,0,4,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
51,0,3,2,0,1,-1,0,0,3,1,0,0
45,0,3,3,0,0,-1,0,0,4,0,0,0
99,0,1,4,0,0,-1,0,0,5,0,0,1
23,0,1,1,0,1,-1,0,0,2,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
39,0,4,5,0,0,-1,0,0,6,0,0,0
53,0,2,4,0,0,-1,0,0,5,0,0,1
22,15,2,2,0,0,1,0,0,0,0,1,0
18,0,1,1,0,0,-1,0,0,1,0,0,0
33,0,2,2,0,0,-1,0,0,2,0,0,0
30,23,2,2,0,1,1,0,0,0,0,0,0
83,0,6,3,0,0,-1,0,1,2,3,0,1
78,0,6,2,0,0,-1,0,0,2,0,0,1
19,0,1,1,0,1,-1,0,0,1,0,0,0
32,0,2,2,0,1,-1,0,0,2,0,0,0
85,0,5,2,0,1,-1,0,0,3,0,0,0
56,0,2,3,0,1,-1,0,0,4,0,0,0
91,0,3,4,0,0,-1,0,0,3,2,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
30,0,3,1,0,0,-1,0,0,1,0,0,0
27,20,2,2,0,0,1,0,0,0,0,0,0
34,0,1,2,0,0,-1,0,0,3,0,0,0
37,0,2,1,0,1,-1,0,0,2,0,0,0
53,0,1,4,0,1,-1,0,0,5,0,0,1
14,0,1,1,0,0,-1,0,0,2,0,0,0
22,15,3,2,0,0,2,0,0,0,0,0,0
60,0,2,2,0,0,-1,0,0,3,1,0,0
51,0,2,4,0,0,-1,0,0,5,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
42,0,1,3,0,1,-1,0,0,3,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
18,0,1,1,0,0,-1,0,0,1,0,0,0
52,0,1,3,0,1,-1,0,0,4,0,0,0
37,0,2,1,0,0,-1,0,0,2,1,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
22,0,1,1,0,0,-1,0,0,2,1,0,0
63,0,2,1,0,1,-1,0,0,2,0,0,0
34,0,3,1,0,0,-1,0,0,2,0,0,0
31,0,1,3,0,0,-1,0,0,4,0,0,0
37,0,2,2,0,1,-1,0,0,3,0,0,0
32,0,2,2,0,1,-1,0,0,3,0,0,0
60,0,4,3,0,1,-1,0,0,4,0,0,0
40,0,2,2,0,1,-1,0,0,3,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
42,0,2,3,0,0,-1,0,0,4,0,0,1
76,0,3,3,0,1,-1,0,0,4,0,0,0
36,0,2,2,0,1,-1,0,0,3,0,0,0
46,0,3,3,0,0,-1,0,0,4,0,0,0
69,0,5,6,0,0,-1,0,0,7,0,0,1
69,0,1,2,0,1,-1,0,0,3,0,0,0
27,20,2,2,0,0,1,0,0,0,0,0,0
27,20,2,2,0,0,1,0,0,0,0,0,0
21,14,2,2,0,1,1,0,0,0,0,0,0
63,0,1,2,0,1,-1,0,0,3,0,0,0
44,0,2,5,0,1,-1,0,0,6,0,0,0
28,0,2,1,0,0,-1,0,0,2,0,0,1
21,14,2,2,0,0,1,0,0,0,0,0,0
27,0,1,3,0,0,-1,0,0,3,0,0,0
56,0,1,5,0,1,-1,0,0,5,0,0,0
90,0,2,4,0,1,-1,0,0,5,0,0,0
23,0,1,1,0,0,-1,0,0,2,0,0,0
31,0,2,2,0,0,-1,0,0,3,0,0,0
27,0,2,2,0,0,-1,0,0,3,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
22,15,3,2,0,0,2,0,0,0,0,0,0
13,0,1,0,0,0,-1,0,0,1,0,0,1
36,0,2,2,0,0,-1,0,0,2,0,0,0
63,0,1,1,0,1,-1,0,0,2,0,0,0
135,0,2,7,0,1,-1,0,0,7,0,0,0
68,0,1,6,0,1,-1,0,0,6,0,0,0
31,24,2,2,0,0,1,0,0,0,0,0,0
29,0,2,2,0,0,-1,0,0,2,0,0,1
38,0,1,5,0,0,-1,0,0,5,0,0,0
63,0,3,2,0,1,-1,0,0,3,2,0,0
30,0,1,3,0,0,-1,0,0,3,0,0,0
60,0,1,6,0,1,-1,0,0,6,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
37,0,2,2,0,1,-1,0,0,3,0,0,0
31,0,1,1,0,0,-1,0,0,2,1,0,0
95,0,6,5,0,1,-1,0,1,6,1,0,1
43,0,2,2,0,0,-1,0,0,3,0,0,0
51,0,3,3,0,0,-1,0,0,3,0,0,0
22,0,1,2,0,0,-1,0,0,3,0,0,0
28,21,2,2,0,0,1,0,0,0,0,0,0
32,0,2,1,0,1,-1,0,0,1,0,0,0
11,0,1,0,0,0,-1,0,0,1,0,0,1
37,0,3,3,0,0,-1,0,0,4,0,0,0
68,0,2,3,0,1,-1,0,0,4,0,0,0
55,0,2,4,0,1,-1,0,0,5,0,0,0
24,0,1,1,0,0,-1,0,0,2,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
73,0,2,1,0,1,-1,0,0,2,0,0,0
29,0,1,3,0,1,-1,0,0,3,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
31,0,1,1,0,0,-1,0,0,2,1,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
37,0,1,5,0,1,-1,0,0,6,0,0,0
78,0,2,5,0,1,-1,0,0,6,0,0,0
43,0,3,3,0,1,-1,0,0,4,0,0,0
29,0,1,1,0,0,-1,0,0,2,0,0,0
35,0,1,3,0,0,-1,0,0,3,0,0,0
15,0,1,1,0,1,-1,0,0,1,0,0,1
23,16,2,2,0,0,1,0,0,0,0,0,0
51,0,1,3,0,1,-1,0,0,4,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
27,0,1,1,0,0,-1,0,0,2,0,0,0
28,21,2,2,0,0,1,0,0,0,0,0,0
69,0,2,4,0,1,-1,0,0,5,0,0,0
103,0,7,5,0,1,-1,0,1,5,2,0,1
13,0,1,1,0,0,-1,0,0,1,0,0,0
24,0,1,1,0,0,-1,0,0,1,0,0,0
25,0,1,2,0,0,-1,0,0,2,0,0,1
67,0,2,1,0,1,-1,0,0,2,0,0,0
52,0,2,4,0,0,-1,0,0,5,0,0,1
35,0,2,2,0,0,-1,0,0,3,0,0,0
77,0,2,1,0,1,-1,0,0,2,2,0,0
29,0,1,2,0,0,-1,0,0,3,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
29,0,2,2,0,0,-1,0,0,2,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
20,0,1,1,0,0,-1,0,0,1,0,0,0
26,19,2,2,0,0,1,0,0,0,0,1,0
21,0,2,1,0,0,-1,0,0,2,0,0,0
69,0,3,6,0,1,-1,0,1,7,0,0,1
25,18,3,2,0,0,2,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
60,0,5,4,0,0,-1,0,0,5,0,0,1
23,16,2,2,0,0,1,0,0,0,0,0,0
58,0,1,3,0,1,-1,0,0,4,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
33,0,2,2,0,0,-1,0,0,3,0,0,1
38,0,2,3,0,1,-1,0,0,3,0,0,0
123,0,1,4,0,0,-1,0,1,4,1,0,1
21,14,2,2,0,0,1,0,0,0,0,0,0
13,0,1,1,0,0,-1,0,0,2,0,0,1
21,14,2,2,0,0,1,0,0,0,0,0,0
31,0,1,1,0,0,-1,0,0,2,1,0,0
36,0,2,1,0,1,-1,0,0,2,0,0,0
30,0,2,1,0,0,-1,0,0,1,0,0,0
18,0,1,1,0,0,-1,0,0,2,0,0,0
48,0,2,1,0,0,-1,0,0,2,0,0,0
72,0,6,2,0,0,-1,0,0,3,0,0,1
60,0,2,1,0,1,-1,0,0,2,0,0,0
37,0,1,2,0,1,-1,0,0,3,0,0,0
62,0,1,2,0,1,-1,0,0,3,0,0,0
23,16,3,2,0,0,2,0,0,0,0,0,0
55,0,1,4,0,1,-1,0,0,5,0,0,0
52,0,2,2,0,0,-1,0,0,3,0,0,0
62,0,2,3,0,1,-1,0,0,4,0,0,0
21,0,1,1,0,0,-1,0,0,1,0,0,0
243,18,7,11,0,1,1,0,0,4,1,0,1
49,0,2,1,0,0,-1,0,0,2,0,0,0
56,0,2,1,0,0,-1,0,0,2,3,0,0
36,0,2,2,0,1,-1,0,0,2,0,0,0
92,0,2,7,0,1,-1,0,0,7,0,0,1
30,0,2,1,0,0,-1,0,0,2,0,0,1
22,0,1,1,0,0,-1,0,0,2,0,0,0
20,13,3,2,0,0,2,0,0,0,0,0,0
31,0,1,1,0,0,-1,0,0,2,1,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
22,15,3,2,0,0,2,0,0,0,0,0,0
89,0,1,4,0,1,-1,0,0,5,0,0,0
36,0,2,2,0,0,-1,0,0,3,0,0,0
83,0,2,1,0,1,-1,0,0,2,4,0,0
24,17,3,2,0,0,2,0,0,0,0,0,0
42,0,2,1,0,1,-1,0,0,2,0,0,0
77,0,2,3,0,1,-1,0,0,4,0,0,0
58,0,2,2,0,1,-1,0,0,3,0,0,0
25,0,1,3,0,0,-1,0,0,3,0,0,0
31,0,1,1,0,0,-1,0,0,2,1,0,0
66,0,2,3,0,1,-1,0,0,4,0,0,0
110,0,3,2,0,1,-1,0,0,3,4,0,1
50,0,4,1,0,0,-1,0,0,2,1,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
20,0,1,2,0,0,-1,0,0,2,0,0,1
39,0,1,2,0,1,-1,0,0,3,0,0,0
42,0,4,3,0,0,-1,0,0,4,0,0,0
237,0,4,7,0,1,-1,0,1,8,14,0,1
25,0,2,2,0,0,-1,0,0,3,0,0,1
22,15,2,2,0,0,1,0,0,0,0,0,0
66,0,2,4,0,1,-1,0,0,5,0,0,0
104,0,2,1,0,0,-1,0,0,2,3,0,0
29,0,2,2,0,0,-1,0,0,3,0,0,0
42,0,2,2,0,1,-1,0,0,3,0,0,0
32,25,2,2,0,1,1,0,0,0,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
49,0,1,3,0,1,-1,0,0,4,0,0,0
26,0,2,2,0,0,-1,0,0,2,0,0,0
32,0,2,3,0,0,-1,0,0,3,0,0,0
24,17,4,2,0,0,3,0,0,0,0,0,0
26,19,2,2,0,0,1,0,0,0,0,0,0
28,21,2,2,0,0,1,0,0,0,0,0,0
40,0,4,1,0,0,-1,0,0,2,0,0,0
19,0,2,1,0,0,-1,0,0,1,0,0,0
26,0,1,2,0,1,-1,0,0,3,0,0,0
20,0,3,2,0,0,-1,0,0,2,0,0,1
45,0,2,2,0,1,-1,0,0,2,0,0,0
18,0,1,1,0,0,-1,0,0,1,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
54,0,2,2,0,1,-1,0,0,3,0,0,0
68,0,1,4,0,1,-1,0,0,4,0,0,0
46,0,2,2,0,1,-1,0,0,3,1,0,0
25,0,3,1,0,0,-1,0,0,2,0,0,0
26,19,2,2,0,0,1,0,0,0,0,0,0
30,0,2,1,0,0,-1,0,0,2,0,0,0
41,0,3,2,0,0,-1,0,0,3,0,0,0
19,0,1,1,0,0,-1,0,0,1,0,0,0
18,11,2,2,0,0,1,0,0,0,0,0,0
55,0,1,3,0,1,-1,0,0,3,0,0,0
87,0,4,4,0,1,-1,0,0,5,2,0,1
58,0,1,3,0,1,-1,0,0,4,0,0,0
28,0,1,4,0,0,-1,0,0,4,0,0,0
11,0,1,1,0,0,-1,0,0,1,0,0,0
18,11,2,2,0,0,1,0,0,0,0,0,0
60,0,2,2,0,1,-1,0,0,3,0,0,0
23,0,3,1,0,0,-1,0,0,1,0,0,0
47,0,1,3,0,1,-1,0,0,4,0,0,0
24,0,1,3,0,0,-1,0,0,3,0,0,1
205,0,2,5,0,1,-1,0,0,6,1,0,1
58,0,3,3,0,1,-1,0,0,4,0,0,0
32,25,2,2,0,0,1,0,0,0,0,0,0
76,0,1,5,0,1,-1,0,0,5,0,0,0
30,0,2,3,0,0,-1,0,0,4,0,0,0
24,0,1,1,0,0,-1,0,0,1,0,0,0
36,0,1,1,0,1,-1,0,0,1,1,0,0
19,12,2,2,0,0,1,0,0,0,0,0,0
49,0,1,2,0,0,-1,0,0,3,1,0,0
17,10,2,2,0,0,1,0,0,0,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
58,0,2,2,0,0,-1,0,0,3,2,0,0
29,0,1,2,0,1,-1,0,0,2,0,0,0
34,0,2,2,0,0,-1,0,0,3,0,0,0
32,0,1,1,0,1,-1,0,0,1,1,0,0
43,0,2,3,0,0,-1,0,0,4,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
26,0,2,2,0,0,-1,0,0,2,0,0,0
45,0,1,3,0,1,-1,0,0,4,0,0,0
56,0,2,2,0,1,-1,0,0,3,1,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
18,0,1,1,0,0,-1,0,0,2,0,0,0
23,0,1,1,0,1,-1,0,0,1,0,0,0
71,0,2,3,0,1,-1,0,0,4,0,0,1
55,0,1,1,0,1,-1,0,0,2,0,0,0
48,0,1,3,0,1,-1,0,0,4,0,0,1
26,19,3,2,0,0,2,0,0,0,0,0,0
49,0,1,3,0,1,-1,0,0,4,0,0,0
54,0,1,2,0,1,-1,0,0,3,0,0,0
29,22,2,2,0,0,1,0,0,0,0,0,0
27,20,2,2,0,0,1,0,0,0,0,0,0
23,0,2,1,0,0,-1,0,0,2,0,0,0
27,0,1,2,0,0,-1,0,0,3,0,0,0
26,0,2,2,0,0,-1,0,0,3,0,0,1
22,15,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
52,0,2,2,0,1,-1,0,0,3,0,0,0
41,0,2,2,0,1,-1,0,0,3,0,0,0
77,0,1,4,0,1,-1,0,0,5,0,0,0
27,20,2,2,0,0,1,0,0,0,0,0,0
32,0,1,2,0,0,-1,0,0,3,0,0,0
21,0,3,1,0,0,-1,0,0,1,0,0,0
18,11,2,2,0,0,1,0,0,0,0,0,0
24,0,1,3,0,0,-1,0,0,3,0,0,0
18,11,2,2,0,0,1,0,0,0,0,0,0
44,0,3,3,0,0,-1,0,0,4,0,0,0
38,0,2,1,0,1,-1,0,0,1,0,0,0
39,0,3,2,0,0,-1,0,1,3,0,0,1
51,0,1,1,0,1,-1,0,0,2,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
19,0,2,1,0,0,-1,0,0,1,0,0,1
38,0,3,2,0,0,-1,0,0,3,0,0,0
103,0,2,2,0,1,-1,0,0,3,6,0,0
45,0,3,1,0,0,-1,0,0,2,1,0,0
26,19,3,2,0,0,2,0,0,0,0,0,0
25,18,2,2,0,1,1,0,0,0,0,0,0
79,0,3,3,0,1,-1,0,0,4,0,0,0
49,0,2,3,0,0,-1,0,0,4,0,0,0
31,0,1,2,0,1,-1,0,0,3,0,0,0
62,0,1,2,0,1,-1,0,0,3,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
25,0,2,2,0,0,-1,0,0,3,0,0,0
36,0,3,1,0,1,-1,0,0,2,0,0,1
43,0,3,1,0,0,-1,0,0,2,1,0,0
81,0,2,4,0,1,-1,0,0,5,0,0,0
123,0,6,5,0,1,-1,0,1,2,2,0,1
27,20,2,2,0,0,1,0,0,0,0,0,0
58,0,2,2,0,0,-1,0,0,3,1,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
21,0,1,1,0,0,-1,0,0,1,0,0,0
41,0,2,1,0,1,-1,0,0,1,0,0,1
41,0,1,3,0,0,-1,0,0,3,1,0,1
28,0,2,2,0,0,-1,0,0,3,0,0,1
20,0,1,1,0,0,-1,0,0,1,0,0,0
18,11,2,2,0,1,1,0,0,0,0,0,0
55,0,2,6,0,0,-1,0,0,7,0,0,0
103,0,1,5,0,1,-1,0,0,5,1,0,0
46,0,2,3,0,0,-1,0,0,4,1,0,0
70,0,1,3,0,1,-1,0,0,4,0,0,0
64,0,3,2,0,0,-1,0,0,3,1,0,0
76,0,2,1,0,0,-1,0,0,2,4,0,0
91,0,2,2,0,1,-1,0,0,3,0,0,0
26,19,3,2,0,0,2,0,0,0,0,0,0
79,0,1,4,0,1,-1,0,0,4,0,0,0
43,0,2,2,0,1,-1,0,0,3,0,0,0
66,0,2,2,0,0,-1,0,0,3,2,0,0
17,0,1,1,0,0,-1,0,0,1,0,0,0
19,12,2,2,0,0,1,0,0,0,0,0,0
12,0,1,1,0,1,-1,0,0,1,0,0,0
28,0,1,2,0,1,-1,0,0,2,0,0,0
48,0,2,3,0,1,-1,0,0,4,0,0,0
17,10,2,2,0,0,1,0,0,0,0,0,0
57,0,2,1,0,1,-1,0,0,2,1,0,0
33,0,2,1,0,0,-1,0,0,2,0,0,0
21,0,1,1,0,0,-1,0,0,1,0,0,1
48,0,3,3,0,0,-1,0,0,4,2,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
51,0,2,5,0,1,-1,0,0,5,0,0,1
18,0,1,2,0,0,-1,0,0,2,0,0,0
43,0,1,3,0,1,-1,0,0,4,0,0,0
42,0,1,1,0,1,-1,0,0,2,0,0,0
19,12,2,2,0,0,1,0,0,0,0,0,0
35,0,3,3,0,0,-1,0,0,4,0,0,1
63,0,3,3,0,1,-1,0,0,4,0,0,0
23,16,3,2,0,0,2,0,0,0,0,0,0
21,0,1,3,0,0,-1,0,0,3,0,0,1
21,0,1,1,0,0,-1,0,0,2,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
65,0,1,4,0,0,-1,0,0,4,0,0,1
17,10,2,2,0,0,1,0,0,0,0,0,0
38,0,1,1,0,0,-1,0,0,2,0,0,0
63,0,2,2,0,1,-1,0,0,3,0,0,0
28,21,2,2,0,0,1,0,0,0,0,0,0
40,0,2,1,0,0,-1,0,0,2,0,0,0
71,0,5,3,0,0,-1,0,0,4,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
27,20,2,2,0,0,1,0,0,0,0,0,0
46,0,2,3,0,1,-1,0,0,4,0,0,0
14,0,2,1,0,0,-1,0,0,1,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
51,0,1,2,0,1,-1,0,0,3,0,0,0
35,0,2,3,0,0,-1,0,0,4,0,0,0
22,0,3,1,0,0,-1,0,0,1,0,0,1
19,12,2,2,0,0,1,0,0,0,0,0,0
20,13,2,2,0,0,1,0,0,0,0,0,0
45,0,3,4,0,0,-1,0,0,5,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
34,0,1,2,0,1,-1,0,0,3,0,0,0
54,0,2,2,0,1,-1,0,0,3,2,0,0
31,24,3,2,0,0,2,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
21,14,2,2,0,0,1,0,0,0,0,1,0
34,0,2,2,0,0,-1,0,0,2,0,0,0
33,0,1,3,0,1,-1,0,0,3,0,0,0
28,0,2,1,0,0,-1,0,0,2,0,0,0
44,0,2,4,0,0,-1,0,0,4,0,0,0
203,0,2,1,0,1,-1,0,0,1,1,0,1
56,0,2,2,0,1,-1,0,0,3,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
28,21,2,2,0,0,1,0,0,0,0,0,0
84,0,3,3,0,1,-1,0,0,4,0,0,0
31,24,2,2,0,0,1,0,0,0,0,0,0
37,0,2,2,0,1,-1,0,0,3,0,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
28,0,3,1,0,0,-1,0,0,2,0,0,0
54,0,2,1,0,1,-1,0,0,2,2,0,0
26,0,2,2,0,0,-1,0,0,2,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
25,18,2,2,0,1,1,0,0,0,0,0,0
19,12,2,2,0,0,1,0,0,0,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
26,0,1,2,0,0,-1,0,0,3,0,0,0
45,0,2,3,0,0,-1,0,0,4,0,0,0
88,0,2,2,0,1,-1,0,0,3,0,0,0
63,0,1,3,0,1,-1,0,0,4,0,0,0
22,0,1,1,0,0,-1,0,0,1,0,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
31,0,2,1,0,1,-1,0,0,2,0,0,1
21,14,2,2,0,0,1,0,0,0,0,0,0
18,0,1,1,0,0,-1,0,0,2,0,0,1
28,0,2,2,0,0,-1,0,0,2,0,0,0
33,0,1,3,0,1,-1,0,0,3,0,0,0
121,0,2,6,0,1,-1,0,1,3,2,0,0
129,0,3,5,0,1,-1,0,0,6,0,0,0
31,0,2,2,0,0,-1,0,0,2,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
24,17,2,2,0,1,1,0,0,0,0,0,0
16,0,1,1,0,0,-1,0,0,1,0,0,0
24,0,1,1,0,0,-1,0,0,1,0,0,0
41,0,2,1,0,0,-1,0,0,1,1,0,0
26,0,2,1,0,1,-1,0,0,1,0,0,0
17,0,1,1,0,0,-1,0,0,1,0,0,0
20,0,1,2,0,1,-1,0,0,2,0,0,0
44,0,1,5,0,1,-1,0,0,6,0,0,0
43,0,1,4,0,1,-1,0,0,4,0,0,0
26,0,2,2,0,0,-1,0,0,3,0,0,0
26,0,2,1,0,0,-1,0,0,1,0,0,0
62,0,3,6,0,1,-1,0,0,7,0,0,1
18,11,2,2,0,0,1,0,0,0,0,0,0
26,0,4,1,0,0,-1,0,0,2,0,0,0
52,0,2,3,0,1,-1,0,0,4,0,0,0
26,0,2,2,0,0,-1,0,0,3,0,0,0
23,16,2,2,0,0,1,0,0,0,0,0,0
278,0,2,2,0,0,-1,0,0,3,19,0,0
50,0,2,2,0,1,-1,0,0,3,0,0,0
45,0,2,3,0,0,-1,0,0,3,0,0,0
18,0,1,1,0,0,-1,0,0,1,0,0,1
23,16,2,2,0,0,1,0,0,0,0,0,0
44,0,4,2,0,1,-1,0,0,3,0,0,0
29,0,1,3,0,1,-1,0,0,3,0,0,0
60,0,5,1,0,0,-1,0,0,2,0,0,0
43,0,2,3,0,1,-1,0,0,4,0,0,0
45,0,1,3,0,1,-1,0,0,4,0,0,0
52,0,1,4,0,1,-1,0,0,5,0,0,0
35,0,2,3,0,1,-1,0,0,4,0,0,0
25,18,2,2,0,0,1,0,0,0,0,0,0
18,11,2,2,0,0,1,0,0,0,0,0,0
35,0,3,1,0,0,-1,0,0,2,0,0,0
26,0,2,2,0,1,-1,0,0,2,0,0,0
26,19,2,2,0,1,1,0,0,0,0,0,0
26,19,2,2,0,0,1,0,0,0,0,0,0
26,0,2,2,0,0,-1,0,0,2,0,0,0
28,21,2,2,0,1,1,0,0,0,0,0,0
26,0,2,2,0,0,-1,0,0,2,0,0,0
25,0,1,2,0,0,-1,0,0,2,1,0,0
53,0,1,4,0,1,-1,0,0,5,0,0,0
21,0,1,1,0,0,-1,0,0,2,0,0,0
26,19,2,2,0,0,1,0,0,0,0,0,0
81,0,2,4,0,0,-1,0,0,5,0,0,0
25,0,2,2,0,0,-1,0,0,3,0,0,0
114,0,2,5,0,1,-1,0,0,6,1,0,0
31,0,3,2,0,0,-1,0,0,3,0,0,1
24,17,2,2,0,0,1,0,0,0,0,0,0
38,0,2,3,0,0,-1,0,0,4,0,0,0
59,0,3,2,0,1,-1,0,0,3,0,0,0
31,0,2,1,0,1,-1,0,0,2,0,0,0
32,0,3,2,0,0,-1,0,0,2,0,0,0
27,20,2,2,0,1,1,0,0,0,0,0,0
62,0,3,2,0,1,-1,0,0,3,0,0,1
45,0,3,3,0,0,-1,0,0,4,0,0,0
21,0,1,2,0,1,-1,0,0,2,0,0,0
90,0,2,1,0,1,-1,0,0,2,1,0,0
246,0,3,5,0,1,-1,0,0,6,1,0,1
23,0,1,2,0,0,-1,0,0,3,0,0,0
26,19,2,2,0,0,1,0,0,0,0,0,0
103,0,2,3,0,1,-1,0,1,4,1,0,1
18,0,1,1,0,0,-1,0,0,1,0,0,0
17,0,1,1,0,0,-1,0,0,2,0,0,1
60,0,1,4,0,1,-1,0,0,5,0,0,0
43,0,4,2,0,0,-1,0,0,3,0,0,1
47,0,1,1,0,1,-1,0,0,2,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
18,11,2,2,0,0,1,0,0,0,0,0,0
32,0,2,2,0,0,-1,0,0,3,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
26,19,2,2,0,0,1,0,0,0,0,0,0
68,0,2,1,0,1,-1,0,0,2,0,0,0
52,0,2,2,0,1,-1,0,0,3,0,0,0
28,0,2,1,0,1,-1,0,0,2,0,0,0
120,0,4,1,0,1,-1,0,0,1,3,0,1
30,0,1,1,0,0,-1,0,0,1,0,0,0
34,27,2,2,0,0,1,0,0,0,0,0,0
34,0,1,3,0,0,-1,0,0,3,0,0,0
28,0,2,2,0,0,-1,0,0,2,0,0,0
24,17,2,2,0,0,1,0,0,0,0,0,0
33,0,1,2,0,1,-1,0,0,3,0,0,0
31,24,3,2,0,0,2,0,0,0,0,0,0
24,17,2,2,0,1,1,0,0,0,0,0,0
40,0,3,2,0,0,-1,0,0,3,0,0,0
77,0,2,2,0,1,-1,0,0,3,2,0,0
91,0,2,4,0,1,-1,0,0,5,0,0,0
33,0,2,2,0,0,-1,0,0,3,0,0,0
112,0,2,4,0,1,-1,0,0,5,0,0,0
49,0,3,2,0,0,-1,0,0,3,0,0,0
34,27,2,2,0,0,1,0,0,0,0,0,0
54,0,2,2,0,1,-1,0,0,3,0,0,0
50,0,2,2,0,1,-1,0,0,3,0,0,0
21,14,2,2,0,0,1,0,0,0,0,0,0
33,0,2,1,0,0,-1,0,0,2,0,0,1
25,18,2,2,0,0,1,0,0,0,0,0,0
32,25,2,2,0,0,1,0,0,0,0,0,0
19,0,1,1,0,0,-1,0,0,2,0,0,1
36,0,2,2,0,1,-1,0,0,3,0,0,0
49,0,3,2,0,1,-1,0,0,3,1,0,0
22,15,2,2,0,0,1,0,0,0,0,0,0
23,0,1,1,0,0,-1,0,0,1,0,0,0
20,0,1,1,0,0,-1,0,0,1,0,0,0
55,0,1,3,0,1,-1,0,0,3,0,0,0
49,0,5,1,0,0,-1,0,0,2,1,0,0
59,0,2,3,0,1,-1,0,0,4,0,0,0
63,0,3,3,0,0,-1,0,0,4,2,0,0
79,0,1,1,0,0,-1,0,0,2,3,0,0
32,0,2,2,0,0,-1,0,0,3,0,0,0
34,0,3,3,0,0,-1,0,0,4,0,0,0
69,0,2,2,0,1,-1,0,0,3,0,0,0
51,0,4,3,0,0,-1,0,0,3,0,0,1
41,34,2,2,0,1,1,0,0,0,0,0,0
30,23,2,2,0,0,1,0,0,0,0,0,0
29,0,2,2,0,0,-1,0,0,2,0,0,0
25,18,3,2,0,0,2,0,0,0,0,0,0
26,0,2,1,0,0,-1,0,0,2,0,0,0
24,0,2,1,0,0,-1,0,0,2,0,0,1
28,0,2,2,0,0,-1,0,0,2,0,0,0
63,0,3,2,0,1,-1,0,0,3,0,0,0
